Name,Image URL,Origin,Length,Color,Stem Price,Quantity
"Anthurium Enjoy","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F113633.jpg%3F4","NL","15 cm","rgb(222, 49, 99)","1.01","x 10"
"Anthurium Enjoy","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F113633.jpg%3F4","NL","11 cm","rgb(222, 49, 99)","0.86","x 16"
"Anthurium Enjoy","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F113633.jpg%3F4","NL","13 cm","rgb(222, 49, 99)","0.99","x 12"
"Anthurium Eterno","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F112195.jpg%3F3","NL","15 cm","rgb(208, 2, 27)","1.08","x 10"
"Anthurium Facetto","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F114641.jpg%3F4","NL","13 cm","rgb(255, 192, 203)","1.27","x 12"
"Anthurium Facetto","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F114641.jpg%3F4","NL","11 cm","rgb(255, 192, 203)","1.13","x 16"
"Anthurium Farao","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F126411.jpg%3F2","NL","15 cm","rgb(255, 192, 203)","1.60","x 10"
"Anthurium Farao","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F126411.jpg%3F2","NL","13 cm","rgb(255, 192, 203)","1.27","x 12"
"Anthurium Farao","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2Fp%2F126411.jpg%3F2","NL","11 cm","rgb(255, 192, 203)","1.18","x 16"
"Anthurium Fortezza","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_7c5b6cb1-7aff-445d-954e-5167fad94448.jpg","NL","15 cm","rgb(255, 192, 203)","1.15","x 10"
"Anthurium Fortezza","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_7c5b6cb1-7aff-445d-954e-5167fad94448.jpg","NL","13 cm","rgb(255, 192, 203)","1.10","x 12"
"Anthurium Fortezza","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_7c5b6cb1-7aff-445d-954e-5167fad94448.jpg","NL","11 cm","rgb(255, 192, 203)","0.96","x 16"
"Anthurium Grace","https://cdn.holexflower.com/image/live/?height=320&image=/https%3A%2F%2Fhlximages.flowerwebshop.com%2FM_4df5770c-d7b5-4478-95ad-319c2a95ecc3.jpg","NL","13 cm","rgb(255, 255, 255)","1.58","x 12"
